date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:23	155076/155076	U-----	200	untouched ('OK')	text/html	etag:%2227c65a51-25dc4-502023b70ed80%22	http://www.abcphil.de/html/lenin.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/lenin.html	(from http://www.abcphil.de/)
13:53:23	423/423	U-----	200	untouched ('')	image/gif	etag:%2220e4506f-1a7-4f99d38ebc5c0%22	http://www.abcphil.de/assets/images/autogen/Lenin_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Lenin_Np1.gif	(from http://www.abcphil.de/)
13:53:23	400/400	U-----	200	untouched ('')	image/gif	etag:%2220e4506e-190-4f99d38ebc5c0%22	http://www.abcphil.de/assets/images/autogen/Lenin_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Lenin_NRp2.gif	(from http://www.abcphil.de/)
13:53:24	147113/147113	U-----	200	untouched ('OK')	text/html	etag:%2220702630-23ea9-502023fda1400%22	http://www.abcphil.de/html/_montesquieu_.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/_montesquieu_.html	(from http://www.abcphil.de/)
13:53:24	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Feb%202020%2012:53:17%20GMT	http://www.aphorismen.de/suche?f_autor=1674_Heinrich+Heine	B:/Phil%20Splitter/Phil%20Splitter/www.aphorismen.de/suche.bedde8.delayed	(from http://www.abcphil.de/html/heinrich_heine.html)
13:53:24	674/674	U-----	200	untouched ('')	image/gif	etag:%2222629e72-2a2-4f99d39ef2c00%22	http://www.abcphil.de/assets/images/autogen/-Montesquieu-_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/-Montesquieu-_Np1.gif	(from http://www.abcphil.de/)
13:53:24	327/327	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Feb%202020%2012:53:17%20GMT	http://www.philosophie.uni-muenchen.de/lehreinheiten/philosophie_5/personen/treptow/curriculum_vitae/habil_treptow.pdf	B:/Phil%20Splitter/Phil%20Splitter/www.philosophie.uni-muenchen.de/lehreinheiten/philosophie_5/personen/treptow/curriculum_vitae/habil_treptow.c0.delayed	(from http://www.abcphil.de/html/heinrich_heine.html)
13:53:24	656/656	U-----	200	untouched ('')	image/gif	etag:%2222629e71-290-4f99d39ef2c00%22	http://www.abcphil.de/assets/images/autogen/-Montesquieu-_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/-Montesquieu-_NRp2.gif	(from http://www.abcphil.de/)
13:53:24	11195/11195	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202020%2012:53:18%20GMT	https://www.philosophie.uni-muenchen.de/lehreinheiten/philosophie_5/personen/treptow/curriculum_vitae/habil_treptow.pdf	B:/Phil%20Splitter/Phil%20Splitter/www.philosophie.uni-muenchen.de/lehreinheiten/philosophie_5/personen/treptow/curriculum_vitae/habil_treptow.c1.delayed	(from http://www.abcphil.de/html/heinrich_heine.html)
13:53:25	157739/157739	U-----	200	untouched ('OK')	text/html	etag:%22275016a4-2682b-5020241e0e080%22	http://www.abcphil.de/html/zitate__montesquieu_.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/zitate__montesquieu_.html	(from http://www.abcphil.de/)
13:53:25	779/779	U-----	200	untouched ('')	image/gif	etag:%22255d9b5a-30b-4f99d39475340%22	http://www.abcphil.de/assets/images/autogen/Zitate--Montesquieu-_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Zitate--Montesquieu-_Np1.gif	(from http://www.abcphil.de/)
13:53:25	759/759	U-----	200	untouched ('')	image/gif	etag:%22255d9b59-2f7-4f99d39475340%22	http://www.abcphil.de/assets/images/autogen/Zitate--Montesquieu-_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Zitate--Montesquieu-_NRp2.gif	(from http://www.abcphil.de/)
13:53:26	319/319	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202020%2012:53:19%20GMT	http://131.130.46.67/wiki/index.php/Lacan:_Analyse_und_Wahrheit	B:/Phil%20Splitter/Phil%20Splitter/131.130.46.67/wiki/index.php/Lacan__Analyse_und_Wahrheit.c2.delayed	(from http://www.abcphil.de/html/freud.html)
13:53:26	686/686	U-----	200	untouched ('')	image/gif	etag:%2222629e78-2ae-4f99d39ef2c00%22	http://www.abcphil.de/assets/images/autogen/-de-Montaigne--_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/-de-Montaigne--_Np1.gif	(from http://www.abcphil.de/)
13:53:26	668/668	U-----	200	untouched ('')	image/gif	etag:%2222629e77-29c-4f99d39fe6e40%22	http://www.abcphil.de/assets/images/autogen/-de-Montaigne--_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/-de-Montaigne--_NRp2.gif	(from http://www.abcphil.de/)
13:53:26	232/232	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Feb%202020%2012:53:20%20GMT	http://www3.ub.uni-freiburg.de/index.php?id=1260	B:/Phil%20Splitter/Phil%20Splitter/www3.ub.uni-freiburg.de/index.c3a3c4.delayed	(from http://www.abcphil.de/html/husserl_.html)
13:53:27	164125/164125	U-----	200	untouched ('OK')	text/html	etag:%22254ef22c-2811d-502023b802fc0%22	http://www.abcphil.de/html/mose.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/mose.html	(from http://www.abcphil.de/)
13:53:27	558/558	U-----	200	untouched ('')	image/gif	etag:%2223a93c59-22e-4f99d39fe6e40%22	http://www.abcphil.de/assets/images/autogen/Mose_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Mose_Np1.gif	(from http://www.abcphil.de/)
13:53:27	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2012%20Feb%202020%2012:53:20%20GMT	https://www.ub.uni-freiburg.de/index.php?id=1260	B:/Phil%20Splitter/Phil%20Splitter/www.ub.uni-freiburg.de/index.c4a3c4.delayed	(from http://www.abcphil.de/html/husserl_.html)
13:53:27	536/536	U-----	200	untouched ('')	image/gif	etag:%2224df82d9-218-4f99d39fe6e40%22	http://www.abcphil.de/assets/images/autogen/Mose_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Mose_NRp2.gif	(from http://www.abcphil.de/)
13:53:28	646/646	U-----	200	untouched ('')	image/gif	etag:%2221200c08-286-4f99d39475340%22	http://www.abcphil.de/assets/images/autogen/Die-10-Gebote_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Die-10-Gebote_NRp2.gif	(from http://www.abcphil.de/)
13:53:28	669/669	U-----	200	untouched ('')	image/gif	etag:%2221200c09-29d-4f99d39381100%22	http://www.abcphil.de/assets/images/autogen/Die-10-Gebote_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Die-10-Gebote_Np1.gif	(from http://www.abcphil.de/)
13:53:28	440/440	U-----	200	untouched ('')	image/gif	etag:%2225a7de8b-1b8-4f99d3a59fbc0%22	http://www.abcphil.de/assets/images/autogen/Paulus_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Paulus_NRp2.gif	(from http://www.abcphil.de/)
13:53:28	558/558	U-----	200	untouched ('')	image/gif	etag:%2225a7de90-22e-4f99d3a59fbc0%22	http://www.abcphil.de/assets/images/autogen/Paulus_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Paulus_Np1.gif	(from http://www.abcphil.de/)
13:53:28	152739/152739	U-----	200	untouched ('OK')	text/html	etag:%22236b4e7f-254a3-502022d7e5f00%22	http://www.abcphil.de/html/die_briefe_des_apostels_paulus-.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/die_briefe_des_apostels_paulus-.html	(from http://www.abcphil.de/)
13:53:28	802/802	U-----	200	untouched ('')	image/gif	etag:%2221200c0b-322-4f99d3a2c3500%22	http://www.abcphil.de/assets/images/autogen/Die-Briefe-des-Apostels-PaulusNp1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Die-Briefe-des-Apostels-PaulusNp1.gif	(from http://www.abcphil.de/)
13:53:29	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Feb%202020%2012:53:22%20GMT	http://theol.uibk.ac.at/leseraum/bibel/tob1.html	B:/Phil%20Splitter/Phil%20Splitter/theol.uibk.ac.at/leseraum/bibel/tob1.c5.delayed	(from http://www.abcphil.de/html/bibel.html)
13:53:29	779/779	U-----	200	untouched ('')	image/gif	etag:%2221200c0a-30b-4f99d3a3b7740%22	http://www.abcphil.de/assets/images/autogen/Die-Briefe-des-Apostels-PaulusNRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Die-Briefe-des-Apostels-PaulusNRp2.gif	(from http://www.abcphil.de/)
13:53:29	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Feb%202020%2012:53:22%20GMT	http://www.uibk.ac.at/theol/leseraum/bibel/sir1.html	B:/Phil%20Splitter/Phil%20Splitter/www.uibk.ac.at/theol/leseraum/bibel/sir1.c7.delayed	(from http://www.abcphil.de/html/bibel.html)
13:53:29	151580/151580	U-----	200	untouched ('OK')	text/html	etag:%2220ab81b1-2501c-502023622e540%22	http://www.abcphil.de/html/sunde-gesetz.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/sunde-gesetz.html	(from http://www.abcphil.de/)
13:53:30	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2012%20Feb%202020%2012:53:23%20GMT	http://www.combib.de/robots.txt		(from http://www.abcphil.de/)
13:53:30	680/680	U-----	200	untouched ('')	image/gif	etag:%222125683c-2a8-4f99d3a3b7740%22	http://www.abcphil.de/assets/images/autogen/S-nde-Gesetz_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/S-nde-Gesetz_Np1.gif	(from http://www.abcphil.de/)
13:53:30	659/659	U-----	200	untouched ('')	image/gif	etag:%222125683b-293-4f99d3a3b7740%22	http://www.abcphil.de/assets/images/autogen/S-nde-Gesetz_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/S-nde-Gesetz_NRp2.gif	(from http://www.abcphil.de/)
13:53:30	796/796	U-----	200	untouched ('')	image/gif	etag:%2223051038-31c-4f99d3a3b7740%22	http://www.abcphil.de/assets/images/autogen/Glaube.Hoffnung-Liebe_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Glaube.Hoffnung-Liebe_Np1.gif	(from http://www.abcphil.de/)
13:53:30	146644/146644	U-----	200	untouched ('OK')	text/html	etag:%2220c12252-23cd4-502022c5c7440%22	http://www.abcphil.de/html/glaube_hoffnung-liebe.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/glaube_hoffnung-liebe.html	(from http://www.abcphil.de/)
13:53:31	775/775	U-----	200	untouched ('')	image/gif	etag:%2223051037-307-4f99d3a3b7740%22	http://www.abcphil.de/assets/images/autogen/Glaube.Hoffnung-Liebe_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Glaube.Hoffnung-Liebe_NRp2.gif	(from http://www.abcphil.de/)
13:53:31	146678/146678	U-----	200	untouched ('OK')	text/html	etag:%2224aec808-23cf6-5020237a05d80%22	http://www.abcphil.de/html/kreuzigung.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/kreuzigung.html	(from http://www.abcphil.de/)
13:53:31	631/631	U-----	200	untouched ('')	image/gif	etag:%22214f5b5c-277-4f99d3a4ab980%22	http://www.abcphil.de/assets/images/autogen/Kreuzigung_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Kreuzigung_Np1.gif	(from http://www.abcphil.de/)
13:53:31	613/613	U-----	200	untouched ('')	image/gif	etag:%22214f5b5b-265-4f99d3a4ab980%22	http://www.abcphil.de/assets/images/autogen/Kreuzigung_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Kreuzigung_NRp2.gif	(from http://www.abcphil.de/)
13:53:32	146496/146496	U-----	200	untouched ('OK')	text/html	etag:%222203ca4b-23c40-502023a02b780%22	http://www.abcphil.de/html/beschneidung.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/beschneidung.html	(from http://www.abcphil.de/)
13:53:32	674/674	U-----	200	untouched ('')	image/gif	etag:%22257fc3e0-2a2-4f99d3a4ab980%22	http://www.abcphil.de/assets/images/autogen/Beschneidung_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Beschneidung_Np1.gif	(from http://www.abcphil.de/)
13:53:32	660/660	U-----	200	untouched ('')	image/gif	etag:%22257fc3df-294-4f99d3a4ab980%22	http://www.abcphil.de/assets/images/autogen/Beschneidung_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Beschneidung_NRp2.gif	(from http://www.abcphil.de/)
13:53:32	809/809	U-----	200	untouched ('')	image/gif	etag:%222072a4dc-329-4f99d3a59fbc0%22	http://www.abcphil.de/assets/images/autogen/Tod--wo-ist-dein-Stachel-_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Tod--wo-ist-dein-Stachel-_Np1.gif	(from http://www.abcphil.de/)
13:53:32	141870/141870	U-----	200	untouched ('OK')	text/html	etag:%2225471846-22a2e-50202302d0440%22	http://www.abcphil.de/html/tod-_wo_ist_dein_stachel_.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/tod-_wo_ist_dein_stachel_.html	(from http://www.abcphil.de/)
13:53:33	237/237	---M-Z	302	error ('Found')	text/html	date:Wed,%2012%20Feb%202020%2012:53:26%20GMT	http://www.bibel-online.net/buch/40.matthaeus/7.html	B:/Phil%20Splitter/Phil%20Splitter/www.bibel-online.net/buch/40.matthaeus/7.c9.delayed	(from http://www.abcphil.de/html/bibelzitate_3.html)
13:53:33	786/786	U-----	200	untouched ('')	image/gif	etag:%22235c265e-312-4f99d3a59fbc0%22	http://www.abcphil.de/assets/images/autogen/Tod--wo-ist-dein-Stachel-_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Tod--wo-ist-dein-Stachel-_NRp2.gif	(from http://www.abcphil.de/)
13:53:33	226/226	---M-Z	403	error ('Forbidden')	text/html	date:Wed,%2012%20Feb%202020%2012:53:26%20GMT	https://www.bibel-online.net/buch/40.matthaeus/7.html	B:/Phil%20Splitter/Phil%20Splitter/www.bibel-online.net/buch/40.matthaeus/7.ca.delayed	(from http://www.abcphil.de/html/bibelzitate_3.html)
13:53:34	664/664	U-----	200	untouched ('')	image/gif	etag:%22266cda3d-298-4f99d3a59fbc0%22	http://www.abcphil.de/assets/images/autogen/Pascal--Blaise-_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Pascal--Blaise-_Np1.gif	(from http://www.abcphil.de/)
13:53:34	147763/147763	U-----	200	untouched ('OK')	text/html	etag:%22275016ad-24133-50202304b88c0%22	http://www.abcphil.de/html/zitate_pascal.html	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/zitate_pascal.html	(from http://www.abcphil.de/)
13:53:34	646/646	U-----	200	untouched ('')	image/gif	etag:%22266cda3c-286-4f99d3a693e00%22	http://www.abcphil.de/assets/images/autogen/Pascal--Blaise-_NRp2.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Pascal--Blaise-_NRp2.gif	(from http://www.abcphil.de/)
13:53:34	655/655	U-----	200	untouched ('')	image/gif	etag:%2220ad5683-28f-4f99d3a2c3500%22	http://www.abcphil.de/assets/images/autogen/Zitate-Pascal_Np1.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Zitate-Pascal_Np1.gif	(from http://www.abcphil.de/)
