date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:36	168978/168978	U-----	200	untouched ('OK')	text/html	etag:%2222b01efc-29412-50206edd87ac0%22	http://textea.phil-splitter.com/html/konkrete_entfaltungsweise_des_dramatischen_kunstwerks.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/konkrete_entfaltungsweise_des_dramatischen_kunstwerks.html	(from http://textea.phil-splitter.com/)
19:36:36	1982/1982	U-----	200	untouched ('')	image/gif	etag:%22236a3d59-7be-4ef3c03c28ac0%22	http://textea.phil-splitter.com/assets/images/autogen/konkrete-Entfaltungsweise-des-NRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/konkrete-Entfaltungsweise-des-NRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:36	630/630	---M--	200	added ('OK')	image/gif	etag:%222305102e-276-4f8587fc0e0c0%22	http://www.abcphil.de/assets/images/autogen/Giftschrank_Hp3.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Giftschrank_Hp3.gif	(from http://www.abcphil.de/html/giftschrank_3.html)
19:36:36	163508/163508	U-----	200	untouched ('OK')	text/html	etag:%2222cd61a7-27eb4-50206ea913f00%22	http://textea.phil-splitter.com/html/drama_-_publikum.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/drama_-_publikum.html	(from http://textea.phil-splitter.com/)
19:36:36	223/223	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202018%2018:36:30%20GMT	http://www.abcphil.de/html/Giftschrank_HRp4.gif	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/html/Giftschrank_HRp4.gif	(from http://www.abcphil.de/html/giftschrank_3.html)
19:36:37	1699/1699	U-----	200	untouched ('')	image/gif	etag:%2225b93e1f-6a3-4ef3c0394c400%22	http://textea.phil-splitter.com/assets/images/autogen/Drama---Publikum_Nregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Drama---Publikum_Nregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:37	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Tue,%2023%20Jan%202018%2018:36:30%20GMT	http://de.wikipedia.org/wiki/Kreuz_(Christentum)	B:/Phil%20Splitter/Phil%20Splitter/de.wikipedia.org/wiki/Kreuz_(Christentum).20d.delayed	(from http://www.abcphil.de/html/giftschrank_3.html)
19:36:37	1724/1724	U-----	200	untouched ('')	image/gif	etag:%2225b93e1e-6bc-4ef3c03a40640%22	http://textea.phil-splitter.com/assets/images/autogen/Drama---Publikum_NRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Drama---Publikum_NRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:37	37135/37135	---M--	200	added ('OK')	image/jpeg	etag:%222255666c-910f-4f8587e15a1c0%22	http://www.abcphil.de/assets/images/Grafitto.jpg	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/Grafitto.jpg	(from http://www.abcphil.de/html/giftschrank_3.html)
19:36:38	1936/1936	U-----	200	untouched ('')	image/gif	etag:%2222cbed95-790-4ef3c03763f80%22	http://textea.phil-splitter.com/assets/images/autogen/Der-dramatische-Dichter-im-VerNregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Der-dramatische-Dichter-im-VerNregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:38	157126/157126	U-----	200	untouched ('OK')	text/html	etag:%2224bb1b25-265c6-50206fb8e0040%22	http://textea.phil-splitter.com/html/der_dramatische_dichter_im_verhaltnis_zum_publikum.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/der_dramatische_dichter_im_verhaltnis_zum_publikum.html	(from http://textea.phil-splitter.com/)
19:36:38	1954/1954	U-----	200	untouched ('')	image/gif	etag:%2222cbed94-7a2-4ef3c03763f80%22	http://textea.phil-splitter.com/assets/images/autogen/Der-dramatische-Dichter-im-VerNRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Der-dramatische-Dichter-im-VerNRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:38	0/0	---M--	301	error ('TLS%20Redirect')	text/html	date:Tue,%2023%20Jan%202018%2018:36:31%20GMT	http://de.wikipedia.org/wiki/Liste_griechischer_Phrasen/Iota	B:/Phil%20Splitter/Phil%20Splitter/de.wikipedia.org/wiki/Liste_griechischer_Phrasen/Iota	(from http://www.abcphil.de/html/giftschrank_3.html)
19:36:38	166949/166949	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Jan%202018%2009:03:23%20GMT	https://de.wikipedia.org/wiki/Kreuz_(Christentum)	B:/Phil%20Splitter/Phil%20Splitter/de.wikipedia.org/wiki/Kreuz_(Christentum).html	(from http://www.abcphil.de/html/giftschrank_3.html)
19:36:39	157908/157908	U-----	200	untouched ('OK')	text/html	etag:%222301c7ba-268d4-50206ec6a44c0%22	http://textea.phil-splitter.com/html/_aussere_exekution_des_dramatischen_kunstwerks.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/_aussere_exekution_des_dramatischen_kunstwerks.html	(from http://textea.phil-splitter.com/)
19:36:39	1958/1958	U-----	200	untouched ('')	image/gif	etag:%222309cb7a-7a6-4ef3c09f574c0%22	http://textea.phil-splitter.com/assets/images/autogen/--u-ere-Exekution-des-dramatisNregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/--u-ere-Exekution-des-dramatisNregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:40	1968/1968	U-----	200	untouched ('')	image/gif	etag:%222309cb79-7b0-4ef3c0a04b700%22	http://textea.phil-splitter.com/assets/images/autogen/--u-ere-Exekution-des-dramatisNRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/--u-ere-Exekution-des-dramatisNRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:40	159255/159255	U-----	200	untouched ('OK')	text/html	etag:%222560fc35-26e17-50206edf6ff40%22	http://textea.phil-splitter.com/html/_lesen_und_vorlesen_dramatischer_werke.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/_lesen_und_vorlesen_dramatischer_werke.html	(from http://textea.phil-splitter.com/)
19:36:41	121904/121904	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202018%2009:50:20%20GMT	https://de.wikipedia.org/wiki/Liste_griechischer_Phrasen/Iota	B:/Phil%20Splitter/Phil%20Splitter/de.wikipedia.org/wiki/Liste_griechischer_Phrasen/Iota.html	(from http://www.abcphil.de/html/giftschrank_3.html)
19:36:41	1905/1905	U-----	200	untouched ('')	image/gif	etag:%22233fcf80-771-4ef3c09b86bc0%22	http://textea.phil-splitter.com/assets/images/autogen/-Lesen-und-Vorlesen-dramatischNregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-Lesen-und-Vorlesen-dramatischNregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:48	42495/42495	---M--	200	added ('OK')	image/jpeg	etag:%22237b165c-a5ff-4f8587f83d7c0%22	http://www.abcphil.de/assets/images/autogen/Hitler--Adolf.jpg	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Hitler--Adolf.jpg	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:49	53705/53705	---M--	200	added ('OK')	image/jpeg	etag:%2225c8f391-d1c9-4f8587f09c5c0%22	http://www.abcphil.de/assets/images/autogen/Bundesarchiv-Adolf-HitlerJ.jpg	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Bundesarchiv-Adolf-HitlerJ.jpg	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:49	1953/1953	U-----	200	untouched ('')	image/gif	etag:%22233fcf7f-7a1-4ef3c09b86bc0%22	http://textea.phil-splitter.com/assets/images/autogen/-Lesen-und-Vorlesen-dramatischNRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/-Lesen-und-Vorlesen-dramatischNRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:49	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202018%2018:36:18%20GMT	http://www.dhm.de/lemo/html/wk2/propaganda/index.html	B:/Phil%20Splitter/Phil%20Splitter/www.dhm.de/lemo/html/wk2/propaganda/index.217.delayed	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:50	344/344	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202018%2018:36:18%20GMT	http://www.dhm.de/lemo/html/wk2/propaganda	B:/Phil%20Splitter/Phil%20Splitter/www.dhm.de/lemo/html/wk2/propaganda.218.delayed	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:50	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202018%2018:36:18%20GMT	https://www.dhm.de/lemo/kapitel/zweiter-weltkrieg/propaganda	B:/Phil%20Splitter/Phil%20Splitter/www.dhm.de/lemo/kapitel/zweiter-weltkrieg/propaganda.219.delayed	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:50	17365/17365	---M--	200	added ('OK')	image/jpeg	etag:%22218d3499-43d5-4f85881f57400%22	http://www.abcphil.de/assets/images/autogen/Gesundheit.jpg	B:/Phil%20Splitter/Phil%20Splitter/www.abcphil.de/assets/images/autogen/Gesundheit.jpg	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:50	161287/161287	U-----	200	untouched ('OK')	text/html	etag:%2223e422b7-27607-50206ee064180%22	http://textea.phil-splitter.com/html/schauspielerkunst.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/schauspielerkunst.html	(from http://textea.phil-splitter.com/)
19:36:50	1719/1719	U-----	200	untouched ('')	image/gif	etag:%22258a8592-6b7-4ef3c097b62c0%22	http://textea.phil-splitter.com/assets/images/autogen/Schauspielerkunst_Nregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Schauspielerkunst_Nregular_1.gif	(from http://textea.phil-splitter.com/)
19:36:50	338/338	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202018%2018:36:19%20GMT	http://www.dhm.de/lemo/html/nazi/organisationen/jugend/index.html	B:/Phil%20Splitter/Phil%20Splitter/www.dhm.de/lemo/html/nazi/organisationen/jugend/index.21a.delayed	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:51	1719/1719	U-----	200	untouched ('')	image/gif	etag:%22258a8591-6b7-4ef3c098aa500%22	http://textea.phil-splitter.com/assets/images/autogen/Schauspielerkunst_NRregularRollover_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/Schauspielerkunst_NRregularRollover_1.gif	(from http://textea.phil-splitter.com/)
19:36:51	157480/157480	U-----	200	untouched ('OK')	text/html	etag:%2222c0cb7d-26728-50206fbac84c0%22	http://textea.phil-splitter.com/html/theatralische_kunst.html	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/html/theatralische_kunst.html	(from http://textea.phil-splitter.com/)
19:36:51	350/350	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202018%2018:36:20%20GMT	http://www.dhm.de/lemo/html/nazi/organisationen/jugend	B:/Phil%20Splitter/Phil%20Splitter/www.dhm.de/lemo/html/nazi/organisationen/jugend.21b.delayed	(from http://www.abcphil.de/html/giftschrank_4.html)
19:36:51	1708/1708	U-----	200	untouched ('')	image/gif	etag:%2222602d3e-6ac-4ef3c094d9c00%22	http://textea.phil-splitter.com/assets/images/autogen/theatralische-Kunst_Nregular_1.gif	B:/Phil%20Splitter/Phil%20Splitter/textea.phil-splitter.com/assets/images/autogen/theatralische-Kunst_Nregular_1.gif	(from http://textea.phil-splitter.com/)
